CGPA,Attendance,Behaviour,Performance,CO,PO,Recommendation,Student_ID,Suggestions
7.58,80.0,1,Good,70,63.0,Maintain current performance,321,Keep consistency and aim higher
7.98,100.0,1,Average,55,49.5,Maintain current performance,322,Practice regularly and improve weak areas
6.85,70.0,1,Good,70,63.0,Maintain current performance,323,Keep consistency and aim higher
9.17,90.0,1,Excellent,85,76.5,Keep up the good work,324,Excellent work! Try advanced learning
6.7,77.0,1,Good,70,63.0,Maintain current performance,325,Keep consistency and aim higher
6.53,100.0,1,Average,55,49.5,Maintain current performance,326,Practice regularly and improve weak areas
8.43,80.0,1,Excellent,85,76.5,Keep up the good work,327,Excellent work! Try advanced learning
8.13,80.0,1,Excellent,85,76.5,Keep up the good work,328,Excellent work! Try advanced learning
8.0,80.0,1,Excellent,85,76.5,Keep up the good work,329,Excellent work! Try advanced learning
8.0,90.0,1,Excellent,85,76.5,Keep up the good work,330,Excellent work! Try advanced learning
7.49,50.0,1,Average,55,49.5,Increase attendance,331,Practice regularly and improve weak areas
6.78,100.0,1,Average,55,49.5,Maintain current performance,332,Practice regularly and improve weak areas
7.56,90.0,1,Average,55,49.5,Maintain current performance,333,Practice regularly and improve weak areas
6.96,100.0,1,Average,55,49.5,Maintain current performance,334,Practice regularly and improve weak areas
8.28,99.0,1,Excellent,85,76.5,Keep up the good work,335,Excellent work! Try advanced learning
7.38,96.0,1,Average,55,49.5,Maintain current performance,336,Practice regularly and improve weak areas
6.84,80.0,1,Good,70,63.0,Maintain current performance,337,Keep consistency and aim higher
7.24,80.0,1,Good,70,63.0,Maintain current performance,338,Keep consistency and aim higher
7.83,98.0,1,Average,55,49.5,Maintain current performance,339,Practice regularly and improve weak areas
7.05,88.0,1,Average,55,49.5,Maintain current performance,340,Practice regularly and improve weak areas
6.84,100.0,1,Average,55,49.5,Maintain current performance,341,Practice regularly and improve weak areas
7.69,100.0,1,Average,55,49.5,Maintain current performance,342,Practice regularly and improve weak areas
7.7,85.0,1,Average,55,49.5,Maintain current performance,343,Practice regularly and improve weak areas
7.09,100.0,1,Average,55,49.5,Maintain current performance,344,Practice regularly and improve weak areas
7.12,80.0,1,Good,70,63.0,Maintain current performance,345,Keep consistency and aim higher
7.69,100.0,1,Average,55,49.5,Maintain current performance,346,Practice regularly and improve weak areas
6.34,100.0,1,Average,55,49.5,Maintain current performance,347,Practice regularly and improve weak areas
6.37,98.0,1,Average,55,49.5,Maintain current performance,348,Practice regularly and improve weak areas
6.93,95.0,1,Average,55,49.5,Maintain current performance,349,Practice regularly and improve weak areas
7.33,98.0,1,Average,55,49.5,Maintain current performance,350,Practice regularly and improve weak areas
7.75,97.0,1,Average,55,49.5,Maintain current performance,351,Practice regularly and improve weak areas
8.68,90.0,1,Excellent,85,76.5,Keep up the good work,352,Excellent work! Try advanced learning
8.19,90.0,1,Excellent,85,76.5,Keep up the good work,353,Excellent work! Try advanced learning
7.37,100.0,1,Average,55,49.5,Maintain current performance,354,Practice regularly and improve weak areas
7.48,100.0,1,Average,55,49.5,Maintain current performance,355,Practice regularly and improve weak areas
6.7,100.0,1,Average,55,49.5,Maintain current performance,356,Practice regularly and improve weak areas
7.49,100.0,1,Average,55,49.5,Maintain current performance,357,Practice regularly and improve weak areas
7.27,90.0,1,Average,55,49.5,Maintain current performance,358,Practice regularly and improve weak areas
7.76,60.0,1,Good,70,63.0,Maintain current performance,359,Keep consistency and aim higher
6.84,99.0,1,Average,55,49.5,Maintain current performance,360,Practice regularly and improve weak areas
7.92,99.0,1,Average,55,49.5,Maintain current performance,361,Practice regularly and improve weak areas
8.73,90.0,1,Excellent,85,76.5,Keep up the good work,362,Excellent work! Try advanced learning
7.41,60.0,1,Good,70,63.0,Maintain current performance,363,Keep consistency and aim higher
7.82,98.0,1,Average,55,49.5,Maintain current performance,364,Practice regularly and improve weak areas
8.05,90.0,1,Excellent,85,76.5,Keep up the good work,365,Excellent work! Try advanced learning
7.18,98.0,1,Average,55,49.5,Maintain current performance,366,Practice regularly and improve weak areas
7.68,95.0,1,Average,55,49.5,Maintain current performance,367,Practice regularly and improve weak areas
7.51,99.0,1,Average,55,49.5,Maintain current performance,368,Practice regularly and improve weak areas
7.58,100.0,1,Average,55,49.5,Maintain current performance,369,Practice regularly and improve weak areas
6.88,90.0,1,Average,55,49.5,Maintain current performance,370,Practice regularly and improve weak areas
7.52,95.0,1,Average,55,49.5,Maintain current performance,371,Practice regularly and improve weak areas
7.9,100.0,1,Average,55,49.5,Maintain current performance,372,Practice regularly and improve weak areas
8.66,96.0,1,Excellent,85,76.5,Keep up the good work,373,Excellent work! Try advanced learning
8.27,100.0,1,Excellent,85,76.5,Keep up the good work,374,Excellent work! Try advanced learning
9.22,85.0,1,Excellent,85,76.5,Keep up the good work,375,Excellent work! Try advanced learning
6.89,95.0,1,Average,55,49.5,Maintain current performance,376,Practice regularly and improve weak areas
8.2,100.0,1,Excellent,85,76.5,Keep up the good work,377,Excellent work! Try advanced learning
7.65,75.0,1,Good,70,63.0,Maintain current performance,378,Keep consistency and aim higher
9.25,70.0,1,Good,70,63.0,Maintain current performance,379,Keep consistency and aim higher
6.85,100.0,1,Average,55,49.5,Maintain current performance,380,Practice regularly and improve weak areas
6.83,100.0,1,Average,55,49.5,Maintain current performance,381,Practice regularly and improve weak areas
7.02,92.0,1,Average,55,49.5,Maintain current performance,382,Practice regularly and improve weak areas
5.8,99.0,1,Average,55,49.5,Focus on weak subjects,383,Practice regularly and improve weak areas
7.08,85.0,1,Average,55,49.5,Maintain current performance,384,Practice regularly and improve weak areas
6.89,100.0,1,Average,55,49.5,Maintain current performance,385,Practice regularly and improve weak areas
7.62,98.0,1,Average,55,49.5,Maintain current performance,386,Practice regularly and improve weak areas
7.77,99.0,1,Average,55,49.5,Maintain current performance,387,Practice regularly and improve weak areas
9.0,100.0,1,Excellent,85,76.5,Keep up the good work,388,Excellent work! Try advanced learning
8.26,90.0,1,Excellent,85,76.5,Keep up the good work,389,Excellent work! Try advanced learning
7.04,95.0,1,Average,55,49.5,Maintain current performance,390,Practice regularly and improve weak areas
6.78,80.0,1,Good,70,63.0,Maintain current performance,391,Keep consistency and aim higher
7.89,98.0,1,Average,55,49.5,Maintain current performance,392,Practice regularly and improve weak areas
6.44,100.0,1,Average,55,49.5,Maintain current performance,393,Practice regularly and improve weak areas
8.97,90.0,1,Excellent,85,76.5,Keep up the good work,394,Excellent work! Try advanced learning
8.44,90.0,1,Excellent,85,76.5,Keep up the good work,395,Excellent work! Try advanced learning
7.12,80.0,1,Good,70,63.0,Maintain current performance,396,Keep consistency and aim higher
6.13,95.0,1,Average,55,49.5,Maintain current performance,397,Practice regularly and improve weak areas
8.58,75.0,1,Excellent,85,76.5,Keep up the good work,398,Excellent work! Try advanced learning
7.41,92.0,1,Average,55,49.5,Maintain current performance,399,Practice regularly and improve weak areas
8.49,95.0,1,Excellent,85,76.5,Keep up the good work,400,Excellent work! Try advanced learning
6.22,98.0,1,Average,55,49.5,Maintain current performance,401,Practice regularly and improve weak areas
7.02,100.0,1,Average,55,49.5,Maintain current performance,402,Practice regularly and improve weak areas
7.5,60.0,1,Good,70,63.0,Maintain current performance,403,Keep consistency and aim higher
7.54,100.0,1,Average,55,49.5,Maintain current performance,404,Practice regularly and improve weak areas
7.14,99.0,1,Average,55,49.5,Maintain current performance,405,Practice regularly and improve weak areas
8.0,85.0,1,Excellent,85,76.5,Keep up the good work,406,Excellent work! Try advanced learning
6.65,98.0,1,Average,55,49.5,Maintain current performance,407,Practice regularly and improve weak areas
7.39,99.0,1,Average,55,49.5,Maintain current performance,408,Practice regularly and improve weak areas
7.6,100.0,1,Average,55,49.5,Maintain current performance,409,Practice regularly and improve weak areas
7.91,98.0,1,Average,55,49.5,Maintain current performance,410,Practice regularly and improve weak areas
8.07,100.0,1,Excellent,85,76.5,Keep up the good work,411,Excellent work! Try advanced learning
6.6,100.0,1,Average,55,49.5,Maintain current performance,412,Practice regularly and improve weak areas
6.27,90.0,1,Average,55,49.5,Maintain current performance,413,Practice regularly and improve weak areas
8.52,100.0,1,Excellent,85,76.5,Keep up the good work,414,Excellent work! Try advanced learning
7.77,85.0,1,Average,55,49.5,Maintain current performance,415,Practice regularly and improve weak areas
6.9,90.0,1,Average,55,49.5,Maintain current performance,416,Practice regularly and improve weak areas
8.74,90.0,1,Excellent,85,76.5,Keep up the good work,417,Excellent work! Try advanced learning
7.59,90.0,1,Average,55,49.5,Maintain current performance,418,Practice regularly and improve weak areas
8.44,100.0,1,Excellent,85,76.5,Keep up the good work,419,Excellent work! Try advanced learning
7.55,95.0,1,Average,55,49.5,Maintain current performance,420,Practice regularly and improve weak areas
9.15,99.0,1,Excellent,85,76.5,Keep up the good work,421,Excellent work! Try advanced learning
8.9,95.0,1,Excellent,85,76.5,Keep up the good work,422,Excellent work! Try advanced learning
7.3,98.0,1,Average,55,49.5,Maintain current performance,423,Practice regularly and improve weak areas
8.28,99.0,1,Excellent,85,76.5,Keep up the good work,424,Excellent work! Try advanced learning
8.02,98.0,1,Excellent,85,76.5,Keep up the good work,425,Excellent work! Try advanced learning
8.59,90.0,1,Excellent,85,76.5,Keep up the good work,426,Excellent work! Try advanced learning
6.73,80.0,1,Good,70,63.0,Maintain current performance,427,Keep consistency and aim higher
8.05,90.0,1,Excellent,85,76.5,Keep up the good work,428,Excellent work! Try advanced learning
8.35,100.0,1,Excellent,85,76.5,Keep up the good work,429,Excellent work! Try advanced learning
6.09,70.0,1,Average,55,49.5,Maintain current performance,430,Practice regularly and improve weak areas
6.55,90.0,1,Average,55,49.5,Maintain current performance,431,Practice regularly and improve weak areas
5.87,87.0,1,Average,55,49.5,Focus on weak subjects,432,Practice regularly and improve weak areas
7.28,98.0,1,Average,55,49.5,Maintain current performance,433,Practice regularly and improve weak areas
8.07,100.0,1,Excellent,85,76.5,Keep up the good work,434,Excellent work! Try advanced learning
8.7,90.0,1,Excellent,85,76.5,Keep up the good work,435,Excellent work! Try advanced learning
7.56,90.0,1,Average,55,49.5,Maintain current performance,436,Practice regularly and improve weak areas
8.8,95.0,1,Excellent,85,76.5,Keep up the good work,437,Excellent work! Try advanced learning
6.4,80.0,1,Average,55,49.5,Maintain current performance,438,Practice regularly and improve weak areas
6.14,75.0,1,Average,55,49.5,Maintain current performance,439,Practice regularly and improve weak areas
7.46,90.0,1,Average,55,49.5,Maintain current performance,440,Practice regularly and improve weak areas
7.81,88.0,1,Average,55,49.5,Maintain current performance,441,Practice regularly and improve weak areas
7.47,90.0,1,Average,55,49.5,Maintain current performance,442,Practice regularly and improve weak areas
5.85,100.0,1,Average,55,49.5,Focus on weak subjects,443,Practice regularly and improve weak areas
7.43,85.0,1,Average,55,49.5,Maintain current performance,444,Practice regularly and improve weak areas
6.46,100.0,1,Average,55,49.5,Maintain current performance,445,Practice regularly and improve weak areas
8.04,88.0,1,Excellent,85,76.5,Keep up the good work,446,Excellent work! Try advanced learning
7.79,97.0,1,Average,55,49.5,Maintain current performance,447,Practice regularly and improve weak areas
6.75,80.0,1,Good,70,63.0,Maintain current performance,448,Keep consistency and aim higher
7.09,85.0,1,Average,55,49.5,Maintain current performance,449,Practice regularly and improve weak areas
6.65,80.0,1,Good,70,63.0,Maintain current performance,450,Keep consistency and aim higher
7.45,100.0,1,Average,55,49.5,Maintain current performance,451,Practice regularly and improve weak areas
8.26,80.0,1,Excellent,85,76.5,Keep up the good work,452,Excellent work! Try advanced learning
6.71,95.0,1,Average,55,49.5,Maintain current performance,453,Practice regularly and improve weak areas
7.9,80.0,1,Good,70,63.0,Maintain current performance,454,Keep consistency and aim higher
7.08,85.0,1,Average,55,49.5,Maintain current performance,455,Practice regularly and improve weak areas
6.87,88.0,1,Average,55,49.5,Maintain current performance,456,Practice regularly and improve weak areas
7.41,99.0,1,Average,55,49.5,Maintain current performance,457,Practice regularly and improve weak areas
6.67,88.87887887887888,1,Average,55,49.5,Maintain current performance,458,Practice regularly and improve weak areas
7.06,90.0,1,Average,55,49.5,Maintain current performance,459,Practice regularly and improve weak areas
6.54,99.0,1,Average,55,49.5,Maintain current performance,460,Practice regularly and improve weak areas
9.07,88.0,1,Excellent,85,76.5,Keep up the good work,461,Excellent work! Try advanced learning
7.53,98.0,1,Average,55,49.5,Maintain current performance,462,Practice regularly and improve weak areas
6.94,95.0,1,Average,55,49.5,Maintain current performance,463,Practice regularly and improve weak areas
7.67,90.0,1,Average,55,49.5,Maintain current performance,464,Practice regularly and improve weak areas
7.41,97.0,1,Average,55,49.5,Maintain current performance,465,Practice regularly and improve weak areas
7.32,90.0,1,Average,55,49.5,Maintain current performance,466,Practice regularly and improve weak areas
7.99,98.0,1,Average,55,49.5,Maintain current performance,467,Practice regularly and improve weak areas
8.11,100.0,1,Excellent,85,76.5,Keep up the good work,468,Excellent work! Try advanced learning
7.08,98.0,1,Average,55,49.5,Maintain current performance,469,Practice regularly and improve weak areas
7.04,97.0,1,Average,55,49.5,Maintain current performance,470,Practice regularly and improve weak areas
7.28,90.0,1,Average,55,49.5,Maintain current performance,471,Practice regularly and improve weak areas
5.66,100.0,1,Average,55,49.5,Focus on weak subjects,472,Practice regularly and improve weak areas
6.29,70.0,1,Average,55,49.5,Maintain current performance,473,Practice regularly and improve weak areas
8.59,90.0,1,Excellent,85,76.5,Keep up the good work,474,Excellent work! Try advanced learning
8.82,90.0,1,Excellent,85,76.5,Keep up the good work,475,Excellent work! Try advanced learning
7.3,70.0,1,Good,70,63.0,Maintain current performance,476,Keep consistency and aim higher
7.96,95.0,1,Average,55,49.5,Maintain current performance,477,Practice regularly and improve weak areas
7.75,75.0,1,Good,70,63.0,Maintain current performance,478,Keep consistency and aim higher
9.96,88.0,1,Excellent,85,76.5,Keep up the good work,479,Excellent work! Try advanced learning
8.4,90.0,1,Excellent,85,76.5,Keep up the good work,480,Excellent work! Try advanced learning
7.4,90.0,1,Average,55,49.5,Maintain current performance,481,Practice regularly and improve weak areas
6.74,95.0,1,Average,55,49.5,Maintain current performance,482,Practice regularly and improve weak areas
6.21,90.0,1,Average,55,49.5,Maintain current performance,483,Practice regularly and improve weak areas
7.66,100.0,1,Average,55,49.5,Maintain current performance,484,Practice regularly and improve weak areas
6.89,95.0,1,Average,55,49.5,Maintain current performance,485,Practice regularly and improve weak areas
6.36,90.0,1,Average,55,49.5,Maintain current performance,486,Practice regularly and improve weak areas
6.98,98.0,1,Average,55,49.5,Maintain current performance,487,Practice regularly and improve weak areas
6.63,96.0,1,Average,55,49.5,Maintain current performance,488,Practice regularly and improve weak areas
8.85,80.0,1,Excellent,85,76.5,Keep up the good work,489,Excellent work! Try advanced learning
8.21,100.0,1,Excellent,85,76.5,Keep up the good work,490,Excellent work! Try advanced learning
7.49,60.0,1,Good,70,63.0,Maintain current performance,491,Keep consistency and aim higher
8.68,100.0,1,Excellent,85,76.5,Keep up the good work,492,Excellent work! Try advanced learning
7.56,100.0,1,Average,55,49.5,Maintain current performance,493,Practice regularly and improve weak areas
6.81,100.0,1,Average,55,49.5,Maintain current performance,494,Practice regularly and improve weak areas
8.72,50.0,1,Average,55,49.5,Increase attendance,495,Practice regularly and improve weak areas
7.93,10.0,1,Poor,40,36.0,"Improve study habits, Attend extra classes, Increase attendance",496,Focus on basics + attend remedial classes
6.67,100.0,1,Average,55,49.5,Maintain current performance,497,Practice regularly and improve weak areas
7.35,98.0,1,Average,55,49.5,Maintain current performance,498,Practice regularly and improve weak areas
6.8,100.0,1,Average,55,49.5,Maintain current performance,499,Practice regularly and improve weak areas
6.39,98.0,1,Average,55,49.5,Maintain current performance,500,Practice regularly and improve weak areas
8.24,100.0,1,Excellent,85,76.5,Keep up the good work,501,Excellent work! Try advanced learning
9.03,85.0,1,Excellent,85,76.5,Keep up the good work,502,Excellent work! Try advanced learning
6.38,95.0,1,Average,55,49.5,Maintain current performance,503,Practice regularly and improve weak areas
7.95,98.0,1,Average,55,49.5,Maintain current performance,504,Practice regularly and improve weak areas
6.98,92.0,1,Average,55,49.5,Maintain current performance,505,Practice regularly and improve weak areas
7.11,99.0,1,Average,55,49.5,Maintain current performance,506,Practice regularly and improve weak areas
7.03,90.0,1,Average,55,49.5,Maintain current performance,507,Practice regularly and improve weak areas
6.81,95.0,1,Average,55,49.5,Maintain current performance,508,Practice regularly and improve weak areas
7.54,95.0,1,Average,55,49.5,Maintain current performance,509,Practice regularly and improve weak areas
6.84,90.0,1,Average,55,49.5,Maintain current performance,510,Practice regularly and improve weak areas
7.72,90.0,1,Average,55,49.5,Maintain current performance,511,Practice regularly and improve weak areas
7.46,88.0,1,Average,55,49.5,Maintain current performance,512,Practice regularly and improve weak areas
7.31,100.0,1,Average,55,49.5,Maintain current performance,513,Practice regularly and improve weak areas
6.77,100.0,1,Average,55,49.5,Maintain current performance,514,Practice regularly and improve weak areas
7.04,100.0,1,Average,55,49.5,Maintain current performance,515,Practice regularly and improve weak areas
8.1,88.0,1,Excellent,85,76.5,Keep up the good work,516,Excellent work! Try advanced learning
7.9,95.0,1,Average,55,49.5,Maintain current performance,517,Practice regularly and improve weak areas
6.72,90.0,1,Average,55,49.5,Maintain current performance,518,Practice regularly and improve weak areas
7.58,90.0,1,Average,55,49.5,Maintain current performance,519,Practice regularly and improve weak areas
8.1,85.0,1,Excellent,85,76.5,Keep up the good work,520,Excellent work! Try advanced learning
6.16,98.0,1,Average,55,49.5,Maintain current performance,521,Practice regularly and improve weak areas
7.93,97.0,1,Average,55,49.5,Maintain current performance,522,Practice regularly and improve weak areas
6.97,90.0,1,Average,55,49.5,Maintain current performance,523,Practice regularly and improve weak areas
7.96,70.0,1,Good,70,63.0,Maintain current performance,524,Keep consistency and aim higher
6.89,99.0,1,Average,55,49.5,Maintain current performance,525,Practice regularly and improve weak areas
6.06,70.0,1,Average,55,49.5,Maintain current performance,526,Practice regularly and improve weak areas
6.2,37.0,1,Poor,40,36.0,"Improve study habits, Attend extra classes, Increase attendance",527,Focus on basics + attend remedial classes
7.54,85.0,1,Average,55,49.5,Maintain current performance,528,Practice regularly and improve weak areas
7.71,80.0,1,Good,70,63.0,Maintain current performance,529,Keep consistency and aim higher
6.78,95.0,1,Average,55,49.5,Maintain current performance,530,Practice regularly and improve weak areas
8.01,90.0,1,Excellent,85,76.5,Keep up the good work,531,Excellent work! Try advanced learning
6.17,70.0,1,Average,55,49.5,Maintain current performance,532,Practice regularly and improve weak areas
7.45,90.0,1,Average,55,49.5,Maintain current performance,533,Practice regularly and improve weak areas
6.53,100.0,1,Average,55,49.5,Maintain current performance,534,Practice regularly and improve weak areas
6.98,90.0,1,Average,55,49.5,Maintain current performance,535,Practice regularly and improve weak areas
7.54,100.0,1,Average,55,49.5,Maintain current performance,536,Practice regularly and improve weak areas
6.81,90.0,1,Average,55,49.5,Maintain current performance,537,Practice regularly and improve weak areas
7.19,50.0,1,Average,55,49.5,Increase attendance,538,Practice regularly and improve weak areas
8.31,90.0,1,Excellent,85,76.5,Keep up the good work,539,Excellent work! Try advanced learning
7.04,99.0,1,Average,55,49.5,Maintain current performance,540,Practice regularly and improve weak areas
8.17,95.0,1,Excellent,85,76.5,Keep up the good work,541,Excellent work! Try advanced learning
6.6,90.0,1,Average,55,49.5,Maintain current performance,542,Practice regularly and improve weak areas
7.92,100.0,1,Average,55,49.5,Maintain current performance,543,Practice regularly and improve weak areas
8.65,98.0,1,Excellent,85,76.5,Keep up the good work,544,Excellent work! Try advanced learning
5.52,95.0,1,Average,55,49.5,Focus on weak subjects,545,Practice regularly and improve weak areas
6.86,95.0,1,Average,55,49.5,Maintain current performance,546,Practice regularly and improve weak areas
7.96,100.0,1,Average,55,49.5,Maintain current performance,547,Practice regularly and improve weak areas
7.34,100.0,1,Average,55,49.5,Maintain current performance,548,Practice regularly and improve weak areas
7.8,98.0,1,Average,55,49.5,Maintain current performance,549,Practice regularly and improve weak areas
7.02,93.0,1,Average,55,49.5,Maintain current performance,550,Practice regularly and improve weak areas
7.57,98.0,1,Average,55,49.5,Maintain current performance,551,Practice regularly and improve weak areas
7.38,90.0,1,Average,55,49.5,Maintain current performance,552,Practice regularly and improve weak areas
8.43,50.0,1,Average,55,49.5,Increase attendance,553,Practice regularly and improve weak areas
7.7,90.0,1,Average,55,49.5,Maintain current performance,554,Practice regularly and improve weak areas
7.77,95.0,1,Average,55,49.5,Maintain current performance,555,Practice regularly and improve weak areas
7.17,95.0,1,Average,55,49.5,Maintain current performance,556,Practice regularly and improve weak areas
7.11,90.0,1,Average,55,49.5,Maintain current performance,557,Practice regularly and improve weak areas
7.15,98.0,1,Average,55,49.5,Maintain current performance,558,Practice regularly and improve weak areas
7.82,88.0,1,Average,55,49.5,Maintain current performance,559,Practice regularly and improve weak areas
7.16,97.0,1,Average,55,49.5,Maintain current performance,560,Practice regularly and improve weak areas
7.73,90.0,1,Average,55,49.5,Maintain current performance,561,Practice regularly and improve weak areas
9.16,90.0,1,Excellent,85,76.5,Keep up the good work,562,Excellent work! Try advanced learning
8.2,99.0,1,Excellent,85,76.5,Keep up the good work,563,Excellent work! Try advanced learning
7.24,90.0,1,Average,55,49.5,Maintain current performance,564,Practice regularly and improve weak areas
8.46,80.0,1,Excellent,85,76.5,Keep up the good work,565,Excellent work! Try advanced learning
7.17,98.0,1,Average,55,49.5,Maintain current performance,566,Practice regularly and improve weak areas
5.87,100.0,1,Average,55,49.5,Focus on weak subjects,567,Practice regularly and improve weak areas
6.69,100.0,1,Average,55,49.5,Maintain current performance,568,Practice regularly and improve weak areas
6.0,88.0,1,Average,55,49.5,Maintain current performance,569,Practice regularly and improve weak areas
7.22,78.0,1,Good,70,63.0,Maintain current performance,570,Keep consistency and aim higher
7.51,97.0,1,Average,55,49.5,Maintain current performance,571,Practice regularly and improve weak areas
8.84,80.0,1,Excellent,85,76.5,Keep up the good work,572,Excellent work! Try advanced learning
7.76,85.0,1,Average,55,49.5,Maintain current performance,573,Practice regularly and improve weak areas
7.32,90.0,1,Average,55,49.5,Maintain current performance,574,Practice regularly and improve weak areas
8.16,99.0,1,Excellent,85,76.5,Keep up the good work,575,Excellent work! Try advanced learning
5.73,95.0,1,Average,55,49.5,Focus on weak subjects,576,Practice regularly and improve weak areas
7.69,100.0,1,Average,55,49.5,Maintain current performance,577,Practice regularly and improve weak areas
8.12,88.0,1,Excellent,85,76.5,Keep up the good work,578,Excellent work! Try advanced learning
6.32,85.0,1,Average,55,49.5,Maintain current performance,579,Practice regularly and improve weak areas
8.42,100.0,1,Excellent,85,76.5,Keep up the good work,580,Excellent work! Try advanced learning
7.77,100.0,1,Average,55,49.5,Maintain current performance,581,Practice regularly and improve weak areas
7.17,95.0,1,Average,55,49.5,Maintain current performance,582,Practice regularly and improve weak areas
8.01,95.0,1,Excellent,85,76.5,Keep up the good work,583,Excellent work! Try advanced learning
9.32,90.0,1,Excellent,85,76.5,Keep up the good work,584,Excellent work! Try advanced learning
7.65,90.0,1,Average,55,49.5,Maintain current performance,585,Practice regularly and improve weak areas
7.7,87.0,1,Average,55,49.5,Maintain current performance,586,Practice regularly and improve weak areas
7.13,97.0,1,Average,55,49.5,Maintain current performance,587,Practice regularly and improve weak areas
6.82,80.0,1,Good,70,63.0,Maintain current performance,588,Keep consistency and aim higher
8.16,100.0,1,Excellent,85,76.5,Keep up the good work,589,Excellent work! Try advanced learning
6.82,99.0,1,Average,55,49.5,Maintain current performance,590,Practice regularly and improve weak areas
7.56,95.0,1,Average,55,49.5,Maintain current performance,591,Practice regularly and improve weak areas
7.12,100.0,1,Average,55,49.5,Maintain current performance,592,Practice regularly and improve weak areas
7.88,90.0,1,Average,55,49.5,Maintain current performance,593,Practice regularly and improve weak areas
7.77,95.0,1,Average,55,49.5,Maintain current performance,594,Practice regularly and improve weak areas
8.33,100.0,1,Excellent,85,76.5,Keep up the good work,595,Excellent work! Try advanced learning
7.09,99.0,1,Average,55,49.5,Maintain current performance,596,Practice regularly and improve weak areas
7.28,100.0,1,Average,55,49.5,Maintain current performance,597,Practice regularly and improve weak areas
6.72,75.0,1,Good,70,63.0,Maintain current performance,598,Keep consistency and aim higher
7.14,80.0,1,Good,70,63.0,Maintain current performance,599,Keep consistency and aim higher
7.8,100.0,1,Average,55,49.5,Maintain current performance,600,Practice regularly and improve weak areas
8.11,70.0,1,Good,70,63.0,Maintain current performance,601,Keep consistency and aim higher
6.76,98.0,1,Average,55,49.5,Maintain current performance,602,Practice regularly and improve weak areas
8.2,95.0,1,Excellent,85,76.5,Keep up the good work,603,Excellent work! Try advanced learning
8.58,98.0,1,Excellent,85,76.5,Keep up the good work,604,Excellent work! Try advanced learning
7.83,99.0,1,Average,55,49.5,Maintain current performance,605,Practice regularly and improve weak areas
9.0,85.0,1,Excellent,85,76.5,Keep up the good work,606,Excellent work! Try advanced learning
6.88,90.0,1,Average,55,49.5,Maintain current performance,607,Practice regularly and improve weak areas
6.5,50.0,1,Average,55,49.5,Increase attendance,608,Practice regularly and improve weak areas
6.08,100.0,1,Average,55,49.5,Maintain current performance,609,Practice regularly and improve weak areas
8.7,99.0,1,Excellent,85,76.5,Keep up the good work,610,Excellent work! Try advanced learning
8.02,90.0,1,Excellent,85,76.5,Keep up the good work,611,Excellent work! Try advanced learning
7.46,70.0,1,Good,70,63.0,Maintain current performance,612,Keep consistency and aim higher
7.72,100.0,1,Average,55,49.5,Maintain current performance,613,Practice regularly and improve weak areas
6.6,100.0,1,Average,55,49.5,Maintain current performance,614,Practice regularly and improve weak areas
9.46,97.0,1,Excellent,85,76.5,Keep up the good work,615,Excellent work! Try advanced learning
7.6,90.0,1,Average,55,49.5,Maintain current performance,616,Practice regularly and improve weak areas
7.59,90.0,1,Average,55,49.5,Maintain current performance,617,Practice regularly and improve weak areas
8.08,90.0,1,Excellent,85,76.5,Keep up the good work,618,Excellent work! Try advanced learning
7.88,90.0,1,Average,55,49.5,Maintain current performance,619,Practice regularly and improve weak areas
7.68,90.0,1,Average,55,49.5,Maintain current performance,620,Practice regularly and improve weak areas
6.87,80.0,1,Good,70,63.0,Maintain current performance,621,Keep consistency and aim higher
7.88,80.0,1,Good,70,63.0,Maintain current performance,622,Keep consistency and aim higher
9.01,96.0,1,Excellent,85,76.5,Keep up the good work,623,Excellent work! Try advanced learning
8.58,99.0,1,Excellent,85,76.5,Keep up the good work,624,Excellent work! Try advanced learning
8.77,95.0,1,Excellent,85,76.5,Keep up the good work,625,Excellent work! Try advanced learning
7.09,100.0,1,Average,55,49.5,Maintain current performance,626,Practice regularly and improve weak areas
6.71,99.0,1,Average,55,49.5,Maintain current performance,627,Practice regularly and improve weak areas
7.4,80.0,1,Good,70,63.0,Maintain current performance,628,Keep consistency and aim higher
7.54,85.0,1,Average,55,49.5,Maintain current performance,629,Practice regularly and improve weak areas
8.38,90.0,1,Excellent,85,76.5,Keep up the good work,630,Excellent work! Try advanced learning
6.15,95.0,1,Average,55,49.5,Maintain current performance,631,Practice regularly and improve weak areas
8.72,98.0,1,Excellent,85,76.5,Keep up the good work,632,Excellent work! Try advanced learning
7.37,95.0,1,Average,55,49.5,Maintain current performance,633,Practice regularly and improve weak areas
7.16,90.0,1,Average,55,49.5,Maintain current performance,634,Practice regularly and improve weak areas
6.69,90.0,1,Average,55,49.5,Maintain current performance,635,Practice regularly and improve weak areas
6.18,95.0,1,Average,55,49.5,Maintain current performance,636,Practice regularly and improve weak areas
8.16,80.0,1,Excellent,85,76.5,Keep up the good work,637,Excellent work! Try advanced learning
7.56,90.0,1,Average,55,49.5,Maintain current performance,638,Practice regularly and improve weak areas
6.47,70.0,1,Average,55,49.5,Maintain current performance,639,Practice regularly and improve weak areas
6.46,85.0,1,Average,55,49.5,Maintain current performance,640,Practice regularly and improve weak areas
7.23,90.0,1,Average,55,49.5,Maintain current performance,641,Practice regularly and improve weak areas
