Student_ID,University Admission year,Gender,Age,H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you use University transportation?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,Do you have any physical disabilities?,How many Credit did you have completed?,What is your monthly family income?,CGPA,Internships,Placed,Salary (INR LPA)
135,2020,Male,23,2018,BCSE,8,Yes,4,5,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,No,68,20000,6.76,0,Yes,24.76
136,2016,Male,25,2014,BCSE,11,Yes,2,1,Online,Yes,Yes,3,Advance,90,Yes,No,Yes,Web development,3,Software,Single,Yes,Family,No,No,126,63000,8.74,2,Yes,3.22
137,2019,Female,22,2018,BCSE,11,Yes,1,2,Online,Yes,Yes,3,Basic,80,No,No,No,Web development,3,NETWORKING,Single,No,Family,No,No,126,50000,6.87,4,Yes,27.96
138,2020,Male,20,2019,BCSE,6,No,2,2,Online,Yes,Yes,5,Basic,90,Yes,No,No,Networking,2,NETWORKING,Single,No,Family,No,No,65,40000,7.24,4,No,0.0
139,2018,Male,25,2016,BCSE,14,No,6,4,Online,Yes,Yes,2,Advance,2,Yes,No,Yes,Web development,4,Software,Single,Yes,Family,No,No,121,60000,8.15,3,Yes,14.97
140,2021,Female,21,2019,BCSE,5,No,2,3,Offline,Yes,Yes,1,Basic,87,Yes,No,Yes,Programming,1,UI/UX,Married,No,Family,No,No,39,60000,6.52,4,Yes,17.94
141,2021,Male,20,2020,BCSE,4,No,2,1,Offline,Yes,Yes,2,Intermediate,80,No,No,Yes,Web development,4,Blockchain,Single,No,Family,Yes,No,36,30000,7.68,0,No,0.0
142,2015,Male,27,2014,BCSE,10,No,5,2,Online,Yes,Yes,6,Basic,50,Yes,No,Yes,Networking,2,NETWORKING,Single,No,Family,No,No,113,7000,8.55,0,Yes,9.88
143,2019,Female,22,2018,BCSE,11,No,8,3,Online,Yes,Yes,4,Intermediate,99,No,No,Yes,Web development,4,Software,Single,No,Bachelor,No,No,126,20000,6.21,3,Yes,23.05
144,2022,Male,20,2020,BCSE,2,No,3,3,Offline,Yes,Yes,1,Intermediate,99,No,No,No,Programming,1,Software,Single,No,Family,No,No,11,20000,7.65,3,No,0.0
145,2020,Male,22,2018,BCSE,7,No,1,1,Offline,Yes,Yes,5,Basic,70,Yes,No,Yes,Networking,1,NETWORKING,Single,No,Family,No,No,77,20000,7.71,3,No,0.0
146,2022,Male,21,2020,BCSE,2,Yes,7,2,Online,Yes,Yes,1,Intermediate,100,No,No,Yes,Programming,3,Software,Single,Yes,Family,No,No,11,30000,8.13,2,Yes,5.07
147,2018,Male,23,2017,BCSE,13,No,2,1,Offline,Yes,Yes,1,Basic,75,Yes,Yes,Yes,Programming,3,Software,Single,No,Bachelor,No,No,136,35000,6.51,4,Yes,26.56
148,2020,Female,23,2020,BCSE,8,Yes,6,3,Offline,Yes,Yes,6,Intermediate,100,No,No,Yes,Programming,2,Software,Single,No,Bachelor,No,No,88,62488,6.44,3,No,0.0
149,2017,Female,25,2015,BCSE,8,No,2,2,Offline,Yes,Yes,1,Intermediate,100,No,No,Yes,Networking,2,NETWORKING,Married,No,Family,No,No,88,60000,7.92,1,Yes,25.36
150,2022,Female,20,2020,BCSE,2,No,4,3,Offline,Yes,No,2,Intermediate,88,No,No,Yes,Programming,3,Software,Single,No,Bachelor,No,No,11,60000,7.74,1,Yes,8.83
151,2021,Male,21,2020,BCSE,4,Yes,2,2,Offline,Yes,Yes,2,Advance,80,No,No,Yes,Programming,2,Software,Relationship,Yes,Family,No,No,36,50000,7.7,0,No,0.0
152,2015,Female,26,2014,BCSE,22,No,2,2,Online,Yes,Yes,3,Intermediate,80,Yes,Yes,No,Software Development,2,Software,Married,Yes,Family,Yes,No,77,30000,7.78,4,Yes,24.85
153,2019,Male,23,2018,BCSE,11,No,5,5,Offline,Yes,Yes,3,Intermediate,90,No,No,Yes,Networking,2,NETWORKING,Single,No,Bachelor,No,No,114,28000,6.96,3,Yes,24.23
154,2019,Female,22,2018,BCSE,11,No,3,1,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,App development,3,Machine Learning,Single,Yes,Family,No,No,126,60000,7.69,1,Yes,20.07
155,2017,Male,23,2017,BCSE,12,No,2,2,Offline,Yes,Yes,1,Advance,100,Yes,No,Yes,Networking,3,Software,Single,No,Bachelor,No,No,136,90000,7.73,4,No,0.0
156,2017,Male,24,2017,BCSE,15,No,3,2,Online,Yes,Yes,3,Advance,80,Yes,No,Yes,Web development,4,Software,Single,No,Bachelor,No,No,113,200000,6.93,0,Yes,13.09
157,2020,Female,21,2019,BCSE,8,No,4,2,Offline,Yes,Yes,1,Intermediate,100,No,No,No,Web development,1,Software,Single,Yes,Family,No,No,88,50000,8.99,2,Yes,10.33
158,2019,Female,22,2018,BCSE,9,No,3,1,Offline,Yes,Yes,5,Basic,80,Yes,No,No,Programming,3,Software,Married,No,Bachelor,Yes,No,77,4000,7.88,4,Yes,9.26
159,2022,Male,19,2020,BCSE,2,Yes,3,2,Offline,Yes,Yes,3,Basic,90,No,No,Yes,Programming,1,Software,Single,No,Family,No,No,11,40000,6.55,4,Yes,11.6
160,2019,Female,21,2018,BCSE,10,No,5,1,Offline,Yes,Yes,3,Intermediate,80,Yes,No,Yes,Programming,2,Software,Single,No,Bachelor,Yes,No,105,80000,8.03,2,Yes,27.4
161,2019,Male,23,2017,BCSE,10,No,3,2,Online,Yes,Yes,2,Basic,90,No,No,Yes,Software Development,3,Software,Single,No,Bachelor,Yes,No,113,35000,6.72,4,No,0.0
162,2019,Male,21,2018,BCSE,9,No,1,1,Online,Yes,Yes,12,Intermediate,90,No,No,Yes,Web development,6,Software,Single,No,Bachelor,No,No,79,65000,8.13,0,Yes,5.1
163,2018,Male,23,2017,BCSE,12,No,4,1,Offline,Yes,Yes,2,Intermediate,97,No,No,Yes,Web development,4,Software,Single,No,Bachelor,No,No,136,20000,8.43,0,Yes,25.38
164,2019,Male,22,2018,BCSE,9,No,3,2,Offline,Yes,Yes,3,Basic,95,No,No,Yes,Web development,2,Data Science,Single,No,Bachelor,No,No,103,40000,6.84,2,No,0.0
165,2018,Female,23,2017,BCSE,12,No,3,2,Online,Yes,Yes,2,Advance,80,Yes,No,Yes,Programming,2,Software,Single,Yes,Family,No,No,136,100000,8.27,3,Yes,12.42
166,2022,Female,20,2020,BCSE,2,Yes,4,1,Offline,Yes,Yes,6,Basic,90,No,No,Yes,Programming,2,Software,Single,No,Bachelor,No,No,11,50000,7.83,1,No,0.0
167,2018,Male,25,2015,BCSE,12,Yes,1,3,Offline,No,Yes,1,Intermediate,90,No,No,No,Web development,1,Software,Single,No,Bachelor,No,No,136,20000,8.16,3,Yes,17.08
168,2022,Male,20,2020,BCSE,2,Yes,3,2,Offline,Yes,Yes,4,Intermediate,90,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,No,11,30000,9.02,4,Yes,24.45
169,2020,Female,23,2018,BCSE,7,No,3,2,Offline,Yes,Yes,4,Basic,40,Yes,Yes,Yes,Web development,2,Software,Married,Yes,Family,No,No,70,60000,7.3,1,Yes,26.88
170,2020,Male,23,2018,BCSE,8,No,4,2,Online,Yes,Yes,2,Intermediate,90,No,No,No,Web development,1,Machine Learning,Single,Yes,Bachelor,No,No,88,50000,6.9,2,No,0.0
171,2021,Male,22,2020,BCSE,4,Yes,4,2,Offline,Yes,Yes,2,Intermediate,90,No,No,No,Web development,2,Software,Single,Yes,Family,No,No,35,40000,6.79,2,Yes,12.31
172,2019,Male,22,2018,BCSE,9,Yes,8,3,Offline,Yes,Yes,3,Intermediate,90,No,No,Yes,Web development,2,Software,Single,No,Bachelor,No,No,100,40000,6.85,1,Yes,15.47
173,2020,Male,23,2018,BCSE,8,Yes,5,3,Offline,No,Yes,2,Intermediate,5,Yes,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,No,88,12000,7.44,0,Yes,14.19
174,2021,Male,21,2020,BCSE,5,No,5,3,Offline,No,Yes,2,Intermediate,97,Yes,No,Yes,Software Development,4,Software,Single,No,Bachelor,No,No,46,50000,7.77,1,Yes,3.36
175,2021,Female,20,2020,BCSE,5,No,2,3,Offline,Yes,Yes,3,Basic,80,No,No,No,Programming,3,Software,Single,No,Family,Yes,Yes,50,50000,7.72,4,Yes,10.99
176,2020,Female,22,2019,BCSE,8,No,4,2,Offline,Yes,No,4,Intermediate,90,No,No,Yes,Web development,2,Machine Learning,Single,No,Family,No,No,88,10000,8.16,0,No,0.0
177,2020,Male,22,2018,BCSE,8,No,2,2,Offline,Yes,Yes,4,Intermediate,90,Yes,No,No,Nothing,0,Artificial Intelligence,Single,No,Bachelor,No,No,88,50000,7.51,2,Yes,15.4
178,2022,Female,22,2019,BCSE,2,Yes,3,2,Online,Yes,Yes,0,Basic,92,No,Yes,Yes,Nothing specially,3,Entrepreneur,Single,No,Family,No,No,11,100000,8.66,1,No,0.0
179,2019,Female,21,2018,BCSE,8,No,6,3,Online,Yes,Yes,2,Intermediate,100,No,No,No,Networking,1,Artificial Intelligence,Single,Yes,Bachelor,Yes,No,88,30000,7.29,3,Yes,14.1
180,2020,Female,21,2019,BCSE,8,Yes,2,1,Offline,Yes,Yes,4,Basic,88,No,No,No,Programming,3,Software,Single,No,Family,No,No,88,40000,9.68,3,Yes,22.49
181,2022,Male,19,2020,BCSE,1,Yes,1,1,Offline,Yes,Yes,6,Intermediate,95,No,No,No,Programming,1,Software,Single,Yes,Family,No,No,0,50000,8.0,4,Yes,13.39
182,2020,Female,20,2018,BCSE,8,No,3,2,Offline,Yes,Yes,2,Advance,98,No,No,Yes,Programming,2,Hardware,Single,No,Family,No,No,75,500000,6.81,3,Yes,16.21
183,2021,Male,20,2020,BCSE,4,Yes,7,2,Offline,Yes,Yes,1,Intermediate,90,No,No,No,Web development,9,NETWORKING,Relationship,No,Bachelor,No,No,33,40000,6.64,1,No,0.0
184,2021,Male,24,2017,BCSE,4,No,3,2,Offline,Yes,Yes,2,Intermediate,90,No,No,No,Programming,2,Software,Relationship,Yes,Bachelor,No,No,34,40000,7.89,1,No,0.0
185,2021,Male,22,2020,BCSE,2,Yes,6,3,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Cyber security,3,NETWORKING,Single,Yes,Family,No,No,11,30000,7.32,3,Yes,14.6
186,2019,Male,22,2018,BCSE,11,Yes,1,1,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Cyber security,2,Software,Single,Yes,Family,No,No,102,40000,8.07,1,Yes,23.0
187,2022,Male,19,2020,BCSE,2,Yes,1,2,Offline,Yes,Yes,2,Intermediate,85,No,No,No,Programming,1,Software,Single,No,Bachelor,No,No,11,20000,7.88,4,Yes,26.3
188,2014,Male,26,2014,BCSE,22,No,3,2,Online,Yes,Yes,1,Basic,100,Yes,No,Yes,Cyber security,5,NETWORKING,Single,No,Family,No,No,80,25000,7.44,0,No,0.0
189,2019,Male,25,2017,BCSE,11,Yes,2,1,Offline,Yes,Yes,5,Intermediate,80,No,No,Yes,Basic,2,Software,Single,Yes,Bachelor,No,No,132,20000,6.82,4,Yes,17.36
190,2017,Male,24,2015,BCSE,15,Yes,6,4,Offline,Yes,Yes,1,Intermediate,100,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,No,136,50000,6.29,4,Yes,24.31
191,2018,Female,21,2017,BCSE,14,No,4,5,Online,Yes,Yes,5,Advance,95,Yes,No,Yes,Programming,1,Software,Single,No,Bachelor,Yes,No,122,15000,7.14,1,No,0.0
192,2022,Male,21,2020,BCSE,2,Yes,2,1,Offline,Yes,Yes,3,Intermediate,90,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,No,11,22000,8.19,0,Yes,11.01
193,2022,Female,21,2020,BCSE,2,Yes,2,2,Offline,Yes,Yes,2,Basic,70,Yes,No,No,Cyber security,1,Artificial Intelligence,Single,No,Family,No,No,12,25000,7.67,1,Yes,17.62
194,2019,Female,21,2018,BCSE,9,Yes,2,1,Online,Yes,Yes,5,Intermediate,95,No,No,No,Programming,1,Software,Single,No,Family,No,No,105,50000,6.5,2,Yes,12.32
195,2019,Female,22,2018,BCSE,11,No,3,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Web development,2,Software,Single,No,Bachelor,No,No,78,30000,7.64,1,No,0.0
196,2019,Female,21,2018,BCSE,11,Yes,5,2,Offline,Yes,Yes,5,Advance,99,No,No,No,Web development,2,Machine Learning,Single,Yes,Family,No,No,126,100000,7.81,1,Yes,14.18
197,2016,Male,24,2016,BCSE,18,No,2,2,Offline,Yes,Yes,3,Advance,95,Yes,No,Yes,Programming,3,Software,Married,Yes,Bachelor,No,No,133,20000,6.79,1,Yes,22.78
198,2022,Female,20,2020,BCSE,2,Yes,2,2,Online,Yes,No,6,Intermediate,90,No,No,Yes,Networking,0,Software,Single,No,Bachelor,No,No,12,35000,7.62,0,Yes,26.8
199,2019,Female,23,2017,BCSE,9,No,3,2,Offline,Yes,Yes,1,Intermediate,80,No,No,No,Web development,1,Machine Learning,Single,No,Bachelor,No,No,84,30000,7.55,1,Yes,6.28
200,2022,Male,20,2020,BCSE,2,Yes,4,3,Offline,Yes,Yes,2,Basic,100,No,No,No,Programming,2,Software,Single,Yes,Family,No,No,11,40000,6.59,0,Yes,20.14
201,2019,Female,21,2018,BCSE,10,No,2,1,Offline,Yes,Yes,2,Intermediate,90,No,No,Yes,Programming,1,Artificial Intelligence,Single,No,Family,No,No,125,40000,7.79,3,Yes,18.72
202,2020,Male,22,2018,BCSE,8,No,8,7,Online,Yes,No,4,Intermediate,90,No,No,Yes,Web development,5,Software,Single,No,Bachelor,Yes,No,75,40000,7.95,2,Yes,6.2
203,2019,Male,22,2018,BCSE,11,No,3,2,Offline,Yes,Yes,20,Basic,90,No,No,Yes,Software Development,1,Machine Learning,Single,No,Bachelor,No,No,121,50000,8.37,0,Yes,8.72
204,2019,Male,22,2018,BCSE,11,No,6,3,Online,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development,5,Software,Relationship,Yes,Bachelor,No,No,131,62488,8.34,3,Yes,11.4
205,2021,Male,23,2018,BCSE,2,Yes,3,2,Online,Yes,No,3,Basic,85,Yes,No,Yes,Programming,1,Software,Single,No,Bachelor,No,No,11,62488,6.4,0,Yes,7.51
206,2019,Female,23,2017,BCSE,10,Yes,2,2,Offline,Yes,Yes,1,Advance,95,No,No,Yes,Networking,2,NETWORKING,Married,Yes,Family,No,No,120,50000,6.75,0,No,0.0
207,2018,Male,23,2017,BCSE,14,No,7,2,Online,Yes,Yes,2,Intermediate,80,Yes,No,No,Web development,2,Software,Relationship,Yes,Family,No,No,130,18000,7.91,2,Yes,9.58
208,2019,Female,21,2018,BCSE,9,No,5,2,Online,Yes,Yes,4,Intermediate,100,No,No,Yes,Web development,2,Web development,Single,No,Family,Yes,No,100,40000,7.91,4,No,0.0
209,2020,Male,22,2028,BCSE,8,No,2,2,Offline,Yes,Yes,4,Intermediate,85,No,No,Yes,Software Development,1,Software,Single,No,Bachelor,No,No,80,62488,7.91,4,No,0.0
210,2017,Male,25,2016,BCSE,15,No,1,1,Online,Yes,Yes,2,Intermediate,90,Yes,No,Yes,"Networking, MIS",2,Hardware,Single,Yes,Family,Yes,Yes,126,80000,10.58,0,Yes,10.23
211,2021,Male,21,2020,BCSE,4,No,1,1,Offline,Yes,Yes,6,Basic,52,No,No,Yes,Programming,1,Software,Single,No,Family,Yes,No,37,20000,7.96,1,Yes,12.06
212,2021,Male,21,2019,BCSE,4,Yes,3,2,Online,Yes,Yes,4,Intermediate,88,Yes,No,No,Programming,2,Software,Single,Yes,Family,No,No,30,62488,8.41,3,Yes,23.23
213,2019,Male,23,2018,BCSE,11,No,6,3,Offline,Yes,Yes,6,Intermediate,98,No,No,Yes,Web development,3,Software,Single,Yes,Family,No,No,110,50000,8.26,1,Yes,18.44
214,2019,Male,26,2014,BCSE,10,No,4,2,Offline,Yes,Yes,1,Intermediate,70,Yes,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,No,104,12000,8.02,1,Yes,29.63
215,2022,Male,20,2020,BCSE,2,No,5,3,Offline,No,Yes,2,Basic,100,No,No,No,Programming,5,Software,Single,Yes,Bachelor,No,No,11,20000,7.25,0,Yes,14.2
216,2022,Female,20,2020,BCSE,2,Yes,5,1,Offline,Yes,Yes,6,Intermediate,90,No,No,No,Programming,5,Software,Single,No,Family,Yes,No,11,50000,8.11,0,Yes,23.35
217,2022,Male,20,2020,BCSE,1,Yes,2,7,Offline,Yes,Yes,6,Basic,100,Yes,No,No,Web development,4,Software,Single,No,Family,No,No,14,62488,6.88,0,No,0.0
218,2019,Male,23,2017,BCSE,9,Yes,4,2,Offline,Yes,Yes,6,Intermediate,90,No,No,No,Web development,1,Machine Learning,Single,No,Bachelor,No,No,89,50000,7.31,0,Yes,26.53
219,2022,Male,20,2020,BCSE,1,Yes,3,1,Offline,Yes,No,6,Basic,100,No,No,Yes,Programming,0,Software,Relationship,Yes,Family,No,No,11,25000,7.11,4,No,0.0
220,2022,Female,21,2019,BCSE,2,Yes,4,3,Offline,Yes,Yes,5,Intermediate,90,No,No,No,Software Development,3,Software,Single,No,Family,No,No,11,25000,7.57,0,Yes,21.33
221,2022,Male,21,2020,BCSE,1,Yes,5,2,Offline,Yes,Yes,2,Intermediate,95,No,No,No,Programming,2,Software,Single,No,Bachelor,No,No,11,50000,9.35,4,No,0.0
222,2018,Male,22,2016,BCSE,12,No,4,2,Online,Yes,Yes,2,Intermediate,88,No,No,Yes,Cyber security,6,Hardware,Single,Yes,Bachelor,No,No,115,62488,6.01,4,Yes,14.12
223,2019,Male,21,2018,BCSE,11,Yes,2,2,Online,Yes,Yes,3,Intermediate,90,No,No,Yes,Web development,5,Software,Single,No,Bachelor,No,No,120,50000,8.05,0,Yes,23.35
224,2018,Female,24,2018,BCSE,12,No,4,2,Offline,Yes,Yes,1,Intermediate,97,No,No,No,Web development,2,Machine Learning,Single,Yes,Family,No,No,136,20000,6.21,2,Yes,8.5
225,2020,Female,22,2018,BCSE,8,Yes,5,3,Offline,Yes,Yes,15,Advance,100,No,No,No,Web development,4,Hardware,Single,Yes,Family,No,No,88,34000,7.12,3,Yes,11.84
226,2022,Female,19,2020,BCSE,2,Yes,6,5,Offline,Yes,Yes,1,Intermediate,95,No,No,No,Programming,2,Software,Single,No,Bachelor,No,No,11,10000,8.37,1,Yes,17.76
227,2019,Male,23,2018,BCSE,11,No,1,1,Offline,Yes,Yes,2,Advance,65,No,No,Yes,Digital Marketing,1,Hardware,Relationship,No,Family,No,No,120,30000,7.55,4,No,0.0
228,2022,Male,20,2020,BCSE,2,No,3,3,Online,Yes,Yes,5,Basic,80,No,No,No,Programming,2,NETWORKING,Single,No,Bachelor,No,No,11,40000,6.64,3,Yes,18.54
229,2022,Male,20,2020,BCSE,2,No,7,3,Offline,Yes,Yes,1,Basic,95,No,No,No,Programming,1,Software,Single,No,Bachelor,No,No,11,50000,6.93,2,Yes,3.6
230,2019,Female,22,2019,BCSE,9,Yes,6,3,Offline,Yes,Yes,3,Basic,90,No,No,Yes,Networking,1,NETWORKING,Single,No,Family,No,No,99,60000,8.04,1,No,0.0
231,2019,Male,22,2018,BCSE,10,Yes,1,2,Offline,Yes,Yes,1,Intermediate,70,No,No,Yes,Web development,6,Software,Single,Yes,Bachelor,Yes,No,117,16000,6.92,1,No,0.0
232,2018,Female,23,2016,BCSE,9,Yes,2,1,Offline,Yes,Yes,2,Advance,95,No,No,No,Web development,2,Machine Learning,Single,No,Family,No,No,101,40000,7.67,4,Yes,28.52
233,2019,Male,23,2018,BCSE,11,No,4,2,Offline,Yes,Yes,4,Intermediate,95,No,No,Yes,Programming,1,NETWORKING,Single,No,Bachelor,No,No,125,30000,7.54,0,Yes,21.81
234,2017,Male,26,2014,BCSE,17,No,3,2,Online,Yes,Yes,1,Intermediate,95,No,No,Yes,Web development,6,Software,Single,No,Bachelor,No,No,110,25000,6.98,2,Yes,16.38
235,2019,Male,24,2018,BCSE,11,No,2,2,Online,Yes,Yes,1,Intermediate,80,No,No,No,Web development,4,Software,Single,No,Bachelor,No,No,123,62488,9.22,4,Yes,28.19
236,2022,Male,20,2020,BCSE,2,Yes,5,2,Online,Yes,Yes,12,Intermediate,75,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,No,11,40000,8.01,2,No,0.0
237,2022,Female,19,2020,BCSE,1,No,7,2,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,No,0,70000,5.88,0,No,0.0
238,2018,Male,23,2018,BCSE,12,No,1,1,Offline,Yes,Yes,2,Intermediate,88,Yes,No,Yes,Web development,1,Software,Single,Yes,Bachelor,No,No,84,50000,7.65,0,No,0.0
239,2020,Male,23,2019,BCSE,7,No,1,3,Offline,Yes,Yes,1,Basic,90,Yes,No,Yes,Programming,2,Software,Single,No,Bachelor,No,No,70,36000,6.97,4,No,0.0
240,2020,Male,22,2019,BCSE,8,No,2,1,Offline,Yes,Yes,3,Intermediate,85,No,No,Yes,Web development,3,Software,Single,Yes,Bachelor,No,No,83,30000,8.18,0,Yes,14.86
241,2018,Male,24,2017,BCSE,12,No,5,2,Offline,Yes,Yes,1,Intermediate,90,No,No,Yes,Networking,3,NETWORKING,Relationship,No,Family,No,No,118,20000,6.87,3,No,0.0
242,2019,Male,24,2018,BCSE,11,Yes,4,2,Online,Yes,No,1,Intermediate,85,Yes,Yes,Yes,"Programming, Networking",1,NETWORKING,Single,No,Family,No,No,103,20000,7.41,1,No,0.0
243,2019,Male,22,2018,BCSE,11,Yes,1,2,Online,Yes,Yes,1,Intermediate,90,No,No,Yes,Web development,1,Software,Relationship,No,Family,No,No,126,100000,7.9,4,Yes,29.47
244,2022,Female,20,2020,BCSE,1,Yes,6,2,Offline,No,No,1,Basic,100,No,No,Yes,Programming,3,Software,Single,No,Family,No,No,0,50000,8.19,2,No,0.0
245,2020,Male,19,2019,BCSE,8,Yes,2,1,Online,Yes,Yes,1,Basic,90,No,No,No,Web development,2,Software,Single,No,Bachelor,No,No,88,20000,6.54,3,Yes,16.83
246,2022,Male,20,2020,BCSE,2,Yes,1,1,Offline,Yes,Yes,4,Intermediate,99,No,No,No,Programming,2,Software,Single,No,Family,No,No,11,35000,7.23,4,Yes,6.09
247,2019,Male,22,2018,BCSE,10,No,4,2,Online,Yes,Yes,1,Intermediate,90,No,No,Yes,Web development,4,Software,Single,No,Family,No,No,104,25000,7.12,0,No,0.0
248,2021,Female,19,2020,BCSE,2,No,3,2,Offline,Yes,Yes,2,Intermediate,98,No,No,No,Programming,2,Software,Single,No,Family,Yes,Yes,11,62488,6.98,0,Yes,23.65
249,2022,Male,21,2021,BCSE,1,Yes,3,2,Online,Yes,Yes,3,Advance,88,No,No,Yes,Networking,1,Software,Single,Yes,Family,No,No,11,62488,8.91,0,Yes,21.33
250,2022,Male,19,2020,BCSE,1,Yes,5,3,Offline,Yes,No,3,Basic,88,No,No,No,Programming,2,Software,Single,No,Family,No,No,0,30000,7.82,0,Yes,23.87
251,2022,Male,20,2021,BCSE,1,Yes,1,1,Offline,Yes,Yes,1,Intermediate,100,No,No,No,Networking,2,Software,Single,Yes,Family,No,No,0,150000,6.49,2,Yes,28.69
252,2022,Female,20,2020,BCSE,1,Yes,4,2,Offline,Yes,Yes,3,Intermediate,98,No,No,Yes,Networking,2,NETWORKING,Single,Yes,Family,No,No,0,50000,8.23,3,No,0.0
253,2017,Female,23,2016,BCSE,14,No,3,2,Online,Yes,Yes,3,Basic,90,No,No,Yes,Software Development,2,Software,Married,No,Family,No,No,133,30000,9.2,1,Yes,23.97
254,2021,Male,21,2019,BCSE,3,Yes,5,3,Offline,Yes,Yes,2,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Bachelor,No,No,23,62488,8.33,2,Yes,19.51
255,2021,Male,21,2020,BCSE,3,Yes,1,2,Online,Yes,Yes,2,Intermediate,90,No,No,Yes,Web development,1,Hardware,Single,No,Family,No,No,35,35000,6.28,2,No,0.0
256,2019,Female,23,2018,BCSE,11,Yes,4,2,Online,Yes,Yes,5,Advance,70,Yes,No,No,Cyber security,2,UI/UX,Married,Yes,Bachelor,Yes,No,120,90000,7.11,1,Yes,26.15
257,2021,Female,20,2020,BCSE,3,Yes,3,2,Offline,Yes,Yes,2,Advance,90,No,No,Yes,Programming,3,NETWORKING,Relationship,No,Family,No,No,24,80000,8.51,1,Yes,21.18
258,2021,Male,19,2020,BCSE,3,Yes,5,2,Offline,Yes,Yes,5,Intermediate,100,No,No,Yes,Web development,3,Software,Single,Yes,Bachelor,No,No,26,60000,6.93,0,Yes,14.02
259,2021,Female,21,2020,BCSE,5,Yes,3,2,Online,Yes,No,10,Intermediate,70,No,No,Yes,Programming,3,Software,Single,No,Family,Yes,No,40,500000,7.86,2,No,0.0
260,2021,Male,21,2020,BCSE,3,Yes,2,2,Online,Yes,Yes,3,Basic,90,No,No,Yes,Programming,1,Software,Single,No,Family,No,No,23,50000,8.12,4,Yes,26.91
261,2021,Male,20,2020,BCSE,4,Yes,3,2,Offline,Yes,Yes,3,Basic,85,No,No,No,Programming,2,Software,Single,No,Bachelor,No,No,25,40000,6.76,1,Yes,8.99
262,2021,Female,19,2020,BCSE,3,No,2,1,Offline,Yes,Yes,3,Intermediate,95,No,No,Yes,Programming,1,Software,Single,No,Family,No,No,23,100000,7.45,1,Yes,22.3
263,2021,Female,22,2017,BCSE,5,Yes,3,2,Offline,Yes,Yes,2,Intermediate,90,No,No,Yes,Programming,1,Software,Single,No,Family,Yes,No,49,20000,4.91,3,Yes,26.8
264,2022,Male,20,2020,BCSE,1,Yes,3,1,Offline,Yes,Yes,1,Advance,100,No,No,Yes,Programming,1,Software,Single,No,Family,No,No,0,30000,6.68,4,Yes,22.75
265,2021,Male,21,2020,BCSE,5,Yes,6,3,Online,Yes,Yes,2,Intermediate,90,No,No,No,Programming,3,Software,Single,Yes,Family,No,No,55,50000,7.3,4,Yes,21.83
266,2021,Male,21,2019,BCSE,3,Yes,2,1,Online,Yes,Yes,2,Intermediate,75,No,No,Yes,Programming,1,Software,Single,No,Family,No,No,23,40000,6.5,1,Yes,23.32
267,2021,Male,21,2020,BCSE,5,No,5,2,Offline,Yes,Yes,2,Intermediate,98,No,No,Yes,Programming,2,Software,Single,No,Bachelor,No,No,45,30000,8.81,0,No,0.0
268,2021,Male,22,2020,BCSE,3,Yes,5,2,Offline,Yes,Yes,2,Advance,95,No,No,Yes,"Programming, Mentoring",3,Software,Single,Yes,Bachelor,Yes,No,23,40000,6.36,3,Yes,15.56
269,2022,Male,22,2019,BCSE,2,No,3,1,Offline,Yes,Yes,3,Intermediate,80,No,No,Yes,Programming,1,Software,Single,Yes,Bachelor,No,No,11,40000,7.15,4,No,0.0
270,2022,Female,20,2021,BCSE,1,Yes,1,2,Offline,Yes,Yes,7,Intermediate,80,No,No,No,Not yet,0,Artificial Intelligence,Single,Yes,Family,No,No,0,60000,7.6,1,No,0.0
271,2020,Male,23,2018,BCSE,6,No,1,2,Online,Yes,Yes,2,Intermediate,90,Yes,No,No,Programming,1,Software,Single,Yes,Bachelor,No,No,65,40000,8.65,4,No,0.0
272,2022,Female,21,2020,BCSE,1,No,6,3,Offline,Yes,Yes,4,Advance,100,No,No,Yes,Programming,3,Software,Single,Yes,Bachelor,No,No,0,40000,6.35,3,Yes,26.6
